License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1294196,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TRUTH NYC LOUNGE LLC,,3855 BRONXWOOD AVE,,BRONX,NY,10469,840834,09/07/2016,09/07/2016,08/31/2018,40.88341,-73.85635,"(40.88341, -73.85635)"
1294212,LIQUOR STORE,222,L,New York,1,BRONX,TIGER BROTHER LIQUOR INC,,843A E 149TH ST,,BRONX,NY,10455,864135,08/04/2016,08/04/2016,07/31/2019,40.81236,-73.90459,"(40.81236, -73.90459)"
1294496,LIQUOR STORE,222,L,New York,1,BRONX,VINTAGE CELLAR INC,,3133 E TREMONT AVE,,BRONX,NY,10461,864739,12/08/2016,12/08/2016,11/30/2019,40.83805,-73.83466,"(40.83805, -73.83466)"
1294550,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,IFLAG CORP,VIKTORIA ITALIAN RESTAURANT,3114 3RD AVE,,BRONX,NY,10451,840657,07/29/2016,07/29/2016,06/30/2018,40.82202,-73.91144,"(40.82202, -73.91144)"
1294688,LIQUOR STORE,222,L,New York,1,BRONX,S & J LIQUORS CORP,,3491 BOSTON RD,,BRONX,NY,10468,864121,08/02/2016,08/02/2016,07/31/2019,40.87699,-73.84685,"(40.87699, -73.84685)"
1294832,LIQUOR STORE,222,L,New York,1,BRONX,MARIEL LIQUOR STORE INC,,1613 WESTCHESTER AVE,,BRONX,NY,10472,864830,12/30/2016,12/30/2016,11/30/2019,40.82954,-73.87499,"(40.82954, -73.87499)"
1294907,LIQUOR STORE,222,L,New York,1,BRONX,NEW DONG FANG WINE & LIQUOR INC,,3009 3RD AVE,STORE 2,BRONX,NY,10455,863987,06/29/2016,06/29/2016,05/31/2019,40.81938,-73.91385,"(40.81938, -73.91385)"
1295004,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,3524 JA LLC,BACCO,3524 JOHNSON AVE,,BRONX,NY,10463,840582,07/14/2016,07/14/2016,06/30/2018,40.8859,-73.90983,"(40.8859, -73.90983)"
1295224,LIQUOR STORE,222,L,New York,1,BRONX,R & L WINE & LIQUOR INC,,840 HUNTS POINT AVE,,BRONX,NY,10474,864089,07/25/2016,07/25/2016,06/30/2019,40.81758,-73.88847,"(40.81758, -73.88847)"
1295318,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,R&R 1579 BAKERY CORP,JACQUELINES LOUNGE,1201 MANOR AVE,,BRONX,NY,10472,840675,08/03/2016,08/03/2016,07/31/2018,40.82902,-73.87648,"(40.82902, -73.87648)"
1295537,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,D'KORA RESTAURANT LOUNGE INC,,894 E TREMONT AVE,,BRONX,NY,10460,840666,08/02/2016,08/02/2016,02/28/2018,40.84213,-73.88476,"(40.84213, -73.88476)"
1295584,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,561 EL BARRIO RESTAURANT INC,,561 SOUTHERN BLVD,STORE D,BRONX,NY,10455,840763,08/23/2016,08/23/2016,07/31/2018,40.81259,-73.90311,"(40.81259, -73.90311)"
1295623,LIQUOR STORE,222,L,New York,1,BRONX,IRIS & ANGUS LIQUOR STORE INC,,160 W 231ST ST,,BRONX,NY,10463,864202,08/18/2016,08/18/2016,07/31/2019,40.87817,-73.90317,"(40.87817, -73.90317)"
1295830,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SRD 2918 CORP,BOULEVARD,2918 BRUCKNER BLVD,,BRONX,NY,10465,840972,10/12/2016,10/12/2016,09/30/2018,40.83323,-73.82739,"(40.83323, -73.82739)"
1295893,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL PARAISO RESTAURANT CORP,,231 BROOK AVE,,BRONX,NY,10454,840896,09/22/2016,09/22/2016,08/31/2018,40.80738,-73.91955,"(40.80738, -73.91955)"
1296143,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ZERO LOUNGE RESTAURANT INC,ZERO LOUNGE RESTAURANT,1472 OGDEN AVE,,BRONX,NY,10452,841171,12/01/2016,12/01/2016,11/30/2018,40.84403,-73.92349,"(40.84403, -73.92349)"
1296525,LIQUOR STORE,222,L,New York,1,BRONX,BENNETT LIQUOR INC,MOON WINE & LIQUOR,114 E 170TH ST,,BRONX,NY,10452,864328,09/19/2016,09/19/2016,05/31/2017,40.8392,-73.91542,"(40.8392, -73.91542)"
1296646,LIQUOR STORE,222,L,New York,1,BRONX,R & L SOUTH BRONX LIQUOR INC,,866 PROSPECT AVE,,BRONX,NY,10459,864487,10/19/2016,10/19/2016,09/30/2019,40.82014,-73.90123,"(40.82014, -73.90123)"
1296758,LIQUOR STORE,222,L,New York,1,BRONX,1005 BROWN STONE ENTERPRISES LLC,SOUNDVIEW WINE & LIQUORS,1005 SOUNDVIEW AVE,,BRONX,NY,10472,864593,11/04/2016,11/04/2016,10/31/2019,40.8253,-73.87049,"(40.8253, -73.87049)"
1296771,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,579 GIO INC,GIOVANNI,579 GRAND CONCOURSE,,BRONX,NY,10451,841148,11/29/2016,11/29/2016,10/31/2018,40.81941,-73.92714,"(40.81941, -73.92714)"
1296844,LIQUOR STORE,222,L,New York,1,BRONX,JAVIER WINES & LIQUORS INC,,273 E 165TH ST,,BRONX,NY,10456,864422,10/06/2016,10/06/2016,09/30/2019,40.82931,-73.91617,"(40.82931, -73.91617)"
1296933,LIQUOR STORE,222,L,New York,1,BRONX,C & W BELMONT WINES & LIQUORS CORP,,686 E 187TH ST,,BRONX,NY,10458,864498,10/20/2016,10/20/2016,09/30/2019,40.85412,-73.88481,"(40.85412, -73.88481)"
1297549,LIQUOR STORE,222,L,New York,1,BRONX,UNIVERSAL WINES & LIQUORS CORP,UNIVERSAL WINES & LIQUORS CORP,386 E 161ST ST,STORE 1,BRONX,NY,10451,864662,11/17/2016,11/17/2016,10/31/2019,40.82422,-73.91446,"(40.82422, -73.91446)"
1297623,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL SAZON DE OLGA RESTAURANT CORP,EL SAZON DE OLGA RESTAURANT CORP,1017 CASTLE HILL AVE,,BRONX,NY,10472,841224,12/14/2016,12/14/2016,11/30/2018,40.82819,-73.85037,"(40.82819, -73.85037)"
1297875,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL NUEVO TENAMPA RESTAURANTE INC,,2765 WEBSTER AVE,,BRONX,NY,10458,841144,11/23/2016,11/23/2016,10/31/2018,40.86585,-73.88638,"(40.86585, -73.88638)"
1297960,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CIA 228 LLC,PADDY'S ON THE ISLAND,288 CITY ISLAND AVE,,BRONX,NY,10464,866415,12/15/2016,12/15/2016,11/30/2018,40.84682,-73.78617,"(40.84682, -73.78617)"
1298019,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TEQUILA & MEZCAL NY CORP,,2434 E TREMONT AVE,,BRONX,NY,10461,841221,12/14/2016,12/14/2016,11/30/2018,40.84246,-73.85203,"(40.84246, -73.85203)"
